Track_Id,Track_Name,Album_Title,Media_Type,Genre
1,For Those About To Rock (We Salute You),For Those About To Rock We Salute You,MPEG audio file,Rock
2,Balls to the Wall,Balls to the Wall,Protected AAC audio file,Rock
3,Fast As a Shark,Restless and Wild,Protected AAC audio file,Rock
4,Restless and Wild,Restless and Wild,Protected AAC audio file,Rock
5,Princess of the Dawn,Restless and Wild,Protected AAC audio file,Rock
6,Put The Finger On You,For Those About To Rock We Salute You,MPEG audio file,Rock
7,Let's Get It Up,For Those About To Rock We Salute You,MPEG audio file,Rock
8,Inject The Venom,For Those About To Rock We Salute You,MPEG audio file,Rock
9,Snowballed,For Those About To Rock We Salute You,MPEG audio file,Rock
10,Evil Walks,For Those About To Rock We Salute You,MPEG audio file,Rock
11,C.O.D.,For Those About To Rock We Salute You,MPEG audio file,Rock
12,Breaking The Rules,For Those About To Rock We Salute You,MPEG audio file,Rock
13,Night Of The Long Knives,For Those About To Rock We Salute You,MPEG audio file,Rock
14,Spellbound,For Those About To Rock We Salute You,MPEG audio file,Rock
15,Go Down,Let There Be Rock,MPEG audio file,Rock
16,Dog Eat Dog,Let There Be Rock,MPEG audio file,Rock
17,Let There Be Rock,Let There Be Rock,MPEG audio file,Rock
18,Bad Boy Boogie,Let There Be Rock,MPEG audio file,Rock
19,Problem Child,Let There Be Rock,MPEG audio file,Rock
20,Overdose,Let There Be Rock,MPEG audio file,Rock
21,Hell Ain't A Bad Place To Be,Let There Be Rock,MPEG audio file,Rock
22,Whole Lotta Rosie,Let There Be Rock,MPEG audio file,Rock
23,Walk On Water,Big Ones,MPEG audio file,Rock
24,Love In An Elevator,Big Ones,MPEG audio file,Rock
25,Rag Doll,Big Ones,MPEG audio file,Rock
26,What It Takes,Big Ones,MPEG audio file,Rock
27,Dude (Looks Like A Lady),Big Ones,MPEG audio file,Rock
28,Janie's Got A Gun,Big Ones,MPEG audio file,Rock
29,Cryin',Big Ones,MPEG audio file,Rock
30,Amazing,Big Ones,MPEG audio file,Rock
31,Blind Man,Big Ones,MPEG audio file,Rock
32,Deuces Are Wild,Big Ones,MPEG audio file,Rock
33,The Other Side,Big Ones,MPEG audio file,Rock
34,Crazy,Big Ones,MPEG audio file,Rock
35,Eat The Rich,Big Ones,MPEG audio file,Rock
36,Angel,Big Ones,MPEG audio file,Rock
37,Livin' On The Edge,Big Ones,MPEG audio file,Rock
38,All I Really Want,Jagged Little Pill,MPEG audio file,Rock
39,You Oughta Know,Jagged Little Pill,MPEG audio file,Rock
40,Perfect,Jagged Little Pill,MPEG audio file,Rock
41,Hand In My Pocket,Jagged Little Pill,MPEG audio file,Rock
42,Right Through You,Jagged Little Pill,MPEG audio file,Rock
43,Forgiven,Jagged Little Pill,MPEG audio file,Rock
44,You Learn,Jagged Little Pill,MPEG audio file,Rock
45,Head Over Feet,Jagged Little Pill,MPEG audio file,Rock
46,Mary Jane,Jagged Little Pill,MPEG audio file,Rock
47,Ironic,Jagged Little Pill,MPEG audio file,Rock
48,Not The Doctor,Jagged Little Pill,MPEG audio file,Rock
49,Wake Up,Jagged Little Pill,MPEG audio file,Rock
50,You Oughta Know (Alternate),Jagged Little Pill,MPEG audio file,Rock
51,We Die Young,Facelift,MPEG audio file,Rock
52,Man In The Box,Facelift,MPEG audio file,Rock
53,Sea Of Sorrow,Facelift,MPEG audio file,Rock
54,Bleed The Freak,Facelift,MPEG audio file,Rock
55,I Can't Remember,Facelift,MPEG audio file,Rock
56,"Love, Hate, Love",Facelift,MPEG audio file,Rock
57,It Ain't Like That,Facelift,MPEG audio file,Rock
58,Sunshine,Facelift,MPEG audio file,Rock
59,Put You Down,Facelift,MPEG audio file,Rock
60,Confusion,Facelift,MPEG audio file,Rock
61,I Know Somethin (Bout You),Facelift,MPEG audio file,Rock
62,Real Thing,Facelift,MPEG audio file,Rock
85,Cochise,Audioslave,MPEG audio file,Rock
86,Show Me How to Live,Audioslave,MPEG audio file,Rock
87,Gasoline,Audioslave,MPEG audio file,Rock
88,What You Are,Audioslave,MPEG audio file,Rock
89,Like a Stone,Audioslave,MPEG audio file,Rock
90,Set It Off,Audioslave,MPEG audio file,Rock
91,Shadow on the Sun,Audioslave,MPEG audio file,Rock
92,I am the Highway,Audioslave,MPEG audio file,Rock
93,Exploder,Audioslave,MPEG audio file,Rock
94,Hypnotize,Audioslave,MPEG audio file,Rock
95,Bring'em Back Alive,Audioslave,MPEG audio file,Rock
96,Light My Way,Audioslave,MPEG audio file,Rock
97,Getaway Car,Audioslave,MPEG audio file,Rock
98,The Last Remaining Light,Audioslave,MPEG audio file,Rock
337,You Shook Me,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
338,I Can't Quit You Baby,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
339,Communication Breakdown,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
340,Dazed and Confused,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
341,The Girl I Love She Got Long Black Wavy Hair,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
342,What is and Should Never Be,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
343,Communication Breakdown(2),BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
344,Travelling Riverside Blues,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
345,Whole Lotta Love,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
346,Somethin' Else,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
347,Communication Breakdown(3),BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
348,I Can't Quit You Baby(2),BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
349,You Shook Me(2),BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
350,How Many More Times,BBC Sessions [Disc 1] [Live],MPEG audio file,Rock
351,Debra Kadabra,Bongo Fury,MPEG audio file,Rock
352,Carolina Hard-Core Ecstasy,Bongo Fury,MPEG audio file,Rock
353,Sam With The Showing Scalp Flat Top,Bongo Fury,MPEG audio file,Rock
354,Poofter's Froth Wyoming Plans Ahead,Bongo Fury,MPEG audio file,Rock
355,200 Years Old,Bongo Fury,MPEG audio file,Rock
356,Cucamonga,Bongo Fury,MPEG audio file,Rock
357,Advance Romance,Bongo Fury,MPEG audio file,Rock
358,Man With The Woman Head,Bongo Fury,MPEG audio file,Rock
359,Muffin Man,Bongo Fury,MPEG audio file,Rock
419,A Kind Of Magic,Greatest Hits II,MPEG audio file,Rock
420,Under Pressure,Greatest Hits II,MPEG audio file,Rock
421,Radio GA GA,Greatest Hits II,MPEG audio file,Rock
422,I Want It All,Greatest Hits II,MPEG audio file,Rock
423,I Want To Break Free,Greatest Hits II,MPEG audio file,Rock
424,Innuendo,Greatest Hits II,MPEG audio file,Rock
425,It's A Hard Life,Greatest Hits II,MPEG audio file,Rock
426,Breakthru,Greatest Hits II,MPEG audio file,Rock
427,Who Wants To Live Forever,Greatest Hits II,MPEG audio file,Rock
428,Headlong,Greatest Hits II,MPEG audio file,Rock
429,The Miracle,Greatest Hits II,MPEG audio file,Rock
430,I'm Going Slightly Mad,Greatest Hits II,MPEG audio file,Rock
431,The Invisible Man,Greatest Hits II,MPEG audio file,Rock
432,Hammer To Fall,Greatest Hits II,MPEG audio file,Rock
433,Friends Will Be Friends,Greatest Hits II,MPEG audio file,Rock
434,The Show Must Go On,Greatest Hits II,MPEG audio file,Rock
435,One Vision,Greatest Hits II,MPEG audio file,Rock
436,Detroit Rock City,Greatest Kiss,MPEG audio file,Rock
437,Black Diamond,Greatest Kiss,MPEG audio file,Rock
438,Hard Luck Woman,Greatest Kiss,MPEG audio file,Rock
439,Sure Know Something,Greatest Kiss,MPEG audio file,Rock
440,Love Gun,Greatest Kiss,MPEG audio file,Rock
441,Deuce,Greatest Kiss,MPEG audio file,Rock
442,Goin' Blind,Greatest Kiss,MPEG audio file,Rock
443,Shock Me,Greatest Kiss,MPEG audio file,Rock
444,Do You Love Me,Greatest Kiss,MPEG audio file,Rock
445,She,Greatest Kiss,MPEG audio file,Rock
446,I Was Made For Loving You,Greatest Kiss,MPEG audio file,Rock
447,Shout It Out Loud,Greatest Kiss,MPEG audio file,Rock
448,God Of Thunder,Greatest Kiss,MPEG audio file,Rock
449,Calling Dr. Love,Greatest Kiss,MPEG audio file,Rock
450,Beth,Greatest Kiss,MPEG audio file,Rock
451,Strutter,Greatest Kiss,MPEG audio file,Rock
452,Rock And Roll All Nite,Greatest Kiss,MPEG audio file,Rock
453,Cold Gin,Greatest Kiss,MPEG audio file,Rock
454,Plaster Caster,Greatest Kiss,MPEG audio file,Rock
455,God Gave Rock 'n' Roll To You,Greatest Kiss,MPEG audio file,Rock
489,Into The Light,Into The Light,MPEG audio file,Rock
490,River Song,Into The Light,MPEG audio file,Rock
491,She Give Me ...,Into The Light,MPEG audio file,Rock
492,Don't You Cry,Into The Light,MPEG audio file,Rock
493,Love Is Blind,Into The Light,MPEG audio file,Rock
494,Slave,Into The Light,MPEG audio file,Rock
495,Cry For Love,Into The Light,MPEG audio file,Rock
496,Living On Love,Into The Light,MPEG audio file,Rock
497,Midnight Blue,Into The Light,MPEG audio file,Rock
498,Too Many Tears,Into The Light,MPEG audio file,Rock
499,Don't Lie To Me,Into The Light,MPEG audio file,Rock
500,Wherever You May Go,Into The Light,MPEG audio file,Rock
543,Burn,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
544,Stormbringer,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
545,Gypsy,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
546,Lady Double Dealer,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
547,Mistreated,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
548,Smoke On The Water,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
549,You Fool No One,MK III The Final Concerts [Disc 1],MPEG audio file,Rock
550,Custard Pie,Physical Graffiti [Disc 1],MPEG audio file,Rock
551,The Rover,Physical Graffiti [Disc 1],MPEG audio file,Rock
552,In My Time Of Dying,Physical Graffiti [Disc 1],MPEG audio file,Rock
553,Houses Of The Holy,Physical Graffiti [Disc 1],MPEG audio file,Rock
554,Trampled Under Foot,Physical Graffiti [Disc 1],MPEG audio file,Rock
555,Kashmir,Physical Graffiti [Disc 1],MPEG audio file,Rock
570,(Da Le) Yaleo,Supernatural,MPEG audio file,Rock
571,Love Of My Life,Supernatural,MPEG audio file,Rock
572,Put Your Lights On,Supernatural,MPEG audio file,Rock
573,Africa Bamba,Supernatural,MPEG audio file,Rock
574,Smooth,Supernatural,MPEG audio file,Rock
575,Do You Like The Way,Supernatural,MPEG audio file,Rock
576,Maria Maria,Supernatural,MPEG audio file,Rock
577,Migra,Supernatural,MPEG audio file,Rock
578,Corazon Espinado,Supernatural,MPEG audio file,Rock
579,Wishing It Was,Supernatural,MPEG audio file,Rock
580,El Farol,Supernatural,MPEG audio file,Rock
581,Primavera,Supernatural,MPEG audio file,Rock
582,The Calling,Supernatural,MPEG audio file,Rock
620,Space Truckin',The Final Concerts (Disc 2),MPEG audio file,Rock
621,Going Down / Highway Star,The Final Concerts (Disc 2),MPEG audio file,Rock
